id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at,timestamp,crawled_at,updated,test_set_1,time_of_existence,average_daily_tweets,inactive_days,has_default_image,bio_is_empty,friends_followers_ratio,is_verified
24858289,Davide Bertoli,davideb66,1299,22,40,1,0,,it,Rome,,1.0,1.0,1.0,http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,,1.0,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,C0DEED,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,7200.0,,,,,,,,,Tue Mar 17 08:51:12 +0000 2009,2009-03-17 09:51:12,2014-04-19 14:46:19,2016-03-15 14:12:22,1,4147.0,0.7782063645130183,3724.0,False,True,1.5714285714285714,False
33212890,Elisa D'Ospina,ElisaDospina,18665,12561,3442,16358,110,http://t.co/ceK8TovxwI,it,Greenland,Italy,,,1.0,http://pbs.twimg.com/profile_images/2603147033/image_normal.jpg,https://pbs.twimg.com/profile_banners/33212890/1397039982,1.0,https://pbs.twimg.com/profile_background_images/453844878657482752/6a3GomzA.jpeg,333333,https://pbs.twimg.com/profile_images/2603147033/image_normal.jpg,FFFFFF,1.0,F3F3F3,http://pbs.twimg.com/profile_background_images/453844878657482752/6a3GomzA.jpeg,EBEBEB,990000,-7200.0,,,,,,"Autrice del libro #unavitatuttacurve dal 9 aprile in tutte le librerie.Top model #curvy, su @Raidue tutor di #moda per @dettofattorai2",,,Sun Apr 19 14:38:04 +0000 2009,2009-04-19 16:38:04,2014-05-18 23:20:58,2016-03-15 14:17:13,1,4114.0,0.7805589307411908,3606.0,False,False,0.11152960870474994,True
39773427,Donato Vincenzo,Vladimir65,22987,600,755,14,6,,it,Rome,"iPhone: 45.471680,9.192429",,,,http://pbs.twimg.com/profile_images/2290354446/641uwgq40y8ehltoeyka_normal.jpeg,https://pbs.twimg.com/profile_banners/39773427/1366657159,1.0,https://pbs.twimg.com/profile_background_images/849790938/8e4083c4d34d59e4c09ccb3e51afdc9e.jpeg,333333,https://pbs.twimg.com/profile_images/2290354446/641uwgq40y8ehltoeyka_normal.jpeg,FFFFFF,1.0,EFEFEF,http://pbs.twimg.com/profile_background_images/849790938/8e4083c4d34d59e4c09ccb3e51afdc9e.jpeg,131516,009999,7200.0,,,,,,[Live Long and Prosper],,,Wed May 13 15:34:41 +0000 2009,2009-05-13 17:34:41,2014-05-13 23:21:54,2016-03-15 14:16:44,1,4090.0,0.7878269371791738,3662.0,False,False,1.289628180039139,False
57007623,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,en,Pacific Time (US & Canada),"ÜT: 18.4698712,-69.9327525",,,,http://pbs.twimg.com/profile_images/378800000857236581/JTbHVA5U_normal.jpeg,https://pbs.twimg.com/profile_banners/57007623/1357079488,1.0,https://pbs.twimg.com/profile_background_images/576667469/507rsfgju9s91hjeu3ic.jpeg,3E4415,https://pbs.twimg.com/profile_images/378800000857236581/JTbHVA5U_normal.jpeg,829D5E,1.0,8BC712,http://pbs.twimg.com/profile_background_images/576667469/507rsfgju9s91hjeu3ic.jpeg,E60584,4BC90C,-25200.0,,,,,,"Cuasi Odontologa*♥,#Bipolar, #Sarcastica & Some might say im a BiTch but I'm just a Free beast in a Wild life.- #1God'sFan, Dreamer & Music Believer~",,,Wed Jul 15 12:55:03 +0000 2009,2009-07-15 14:55:03,2014-05-19 23:24:18,2016-03-15 14:18:54,1,4027.0,0.7874875868917577,3292.0,False,False,1.0176211453744493,False
63258466,§ h a † u r♄,FabrizioC_c,20218,413,405,162,8,http://t.co/PK5F0JDKcy,it,Rome,Firenze,,,1.0,http://pbs.twimg.com/profile_images/463301942291492864/L3LQ-1DI_normal.jpeg,https://pbs.twimg.com/profile_banners/63258466/1399725401,1.0,https://pbs.twimg.com/profile_background_images/220859199/twitter-background-6.jpg,D67345,https://pbs.twimg.com/profile_images/463301942291492864/L3LQ-1DI_normal.jpeg,16471D,,DFF0EF,http://pbs.twimg.com/profile_background_images/220859199/twitter-background-6.jpg,EBEBEB,000000,7200.0,,,,,,"I shall rise from my own death, to avenge hers with all the powers of darkness.",,,Wed Aug 05 21:12:49 +0000 2009,2009-08-05 23:12:49,2014-05-11 23:22:23,2016-03-15 14:17:05,1,,,,,,,
96435556,Mariano,Marianocrt,15259,134,401,55,1,,it,Rome,,,,1.0,http://pbs.twimg.com/profile_images/3114299697/f73cd7211520f13e8121d4ccd5db2481_normal.jpeg,https://pbs.twimg.com/profile_banners/96435556/1355679393,1.0,https://abs.twimg.com/images/themes/theme6/bg.gif,333333,https://pbs.twimg.com/profile_images/3114299697/f73cd7211520f13e8121d4ccd5db2481_normal.jpeg,86A4A6,,A0C5C7,http://abs.twimg.com/images/themes/theme6/bg.gif,709397,FF3300,7200.0,,,,,,O scrivi Italia o scrivi libertà. Due termini distanti come la Costituzione formale e quella materiale!,,,Sat Dec 12 22:53:04 +0000 2009,2009-12-12 23:53:04,2014-04-22 23:20:09,2016-03-15 14:12:14,1,3876.0,0.8300670448684889,3657.0,False,False,1.7884615384615385,False
108992875,marzia menonna,marzia_hayley,9551,337,630,655,1,http://t.co/JkUrqi0S0F,it,,roma,,,1.0,http://pbs.twimg.com/profile_images/1899557382/hayls_stupenda_normal.png,https://pbs.twimg.com/profile_banners/108992875/1395093599,1.0,https://pbs.twimg.com/profile_background_images/606016545/8cpc09fmxrljrzfllmzi.jpeg,3C3940,https://pbs.twimg.com/profile_images/1899557382/hayls_stupenda_normal.png,5ED4DC,1.0,95E8EC,http://pbs.twimg.com/profile_background_images/606016545/8cpc09fmxrljrzfllmzi.jpeg,0099B9,0099B9,,,,,,,paramore 10/06/13 ♥♥ - Tonight Alive - TVD -TO - OUAT- Revenge - TW - SPN ecc.,,,Wed Jan 27 16:51:00 +0000 2010,2010-01-27 17:51:00,2014-06-07 23:23:32,2016-03-15 14:21:24,1,3830.0,0.8322025052192067,2813.0,False,False,2.10250569476082,False
177671726,Roberto Boscaini,RobertoBoscaini,206,28,105,38,0,,it,Rome,Cave (RM),,,,http://pbs.twimg.com/profile_images/463052123178278912/-fR7oU4-_normal.jpeg,https://pbs.twimg.com/profile_banners/177671726/1399235206,1.0,https://pbs.twimg.com/profile_background_images/400050152/Batman_poster.jpg,333333,https://pbs.twimg.com/profile_images/463052123178278912/-fR7oU4-_normal.jpeg,C0DEED,1.0,DDEEF6,http://pbs.twimg.com/profile_background_images/400050152/Batman_poster.jpg,C0DEED,0084B4,7200.0,,,,,,"Appassionato di manga, anime, cimema, serie tv, wrestling, sport, Giappone.",,,Thu Aug 12 19:31:28 +0000 2010,2010-08-12 21:31:28,2014-05-20 23:24:27,2016-03-15 14:19:06,1,3633.0,0.07207702888583219,3505.0,False,False,4.608695652173913,False
223945761,Ilsaggiolibro.it,ilsaggiolibro,93793,2617,52,0,28,http://t.co/vze3v7KAp7,it,Rome,,,,,http://pbs.twimg.com/profile_images/1724621385/155336_180288631986370_180165568665343_721839_6354912_n_normal.jpg,,1.0,https://abs.twimg.com/images/themes/theme5/bg.gif,3E4415,https://pbs.twimg.com/profile_images/1724621385/155336_180288631986370_180165568665343_721839_6354912_n_normal.jpg,829D5E,,99CC33,http://abs.twimg.com/images/themes/theme5/bg.gif,352726,D02B55,7200.0,,,,,,,,,Tue Dec 07 19:08:04 +0000 2010,2010-12-07 20:08:04,2014-05-27 23:22:16,2016-03-15 14:16:24,1,,,,,,,
237177357,Rosanna Pilano,RosannaPilano,490,1561,2001,0,0,,it,Athens,Milano,,,,http://pbs.twimg.com/profile_images/1213500614/2229_normal.jpg,,1.0,https://abs.twimg.com/images/themes/theme19/bg.gif,333333,https://pbs.twimg.com/profile_images/1213500614/2229_normal.jpg,FFF8AD,,F6FFD1,http://abs.twimg.com/images/themes/theme19/bg.gif,FFF04D,0099CC,10800.0,,,,,,"Focosa, onesta, sincera. Mai tradire.",,,Wed Jan 12 07:32:14 +0000 2011,2011-01-12 08:32:14,2014-06-09 23:20:27,2016-03-15 14:13:44,1,,,,,,,
